"2025-04-19","148.113.210.254","Canada","TCP","\u0016\u0003\u0001\u0000{\u0001\u0000\u0000w\u0003\u0003\ufffd-ݜe\ufffdn\u0005[*\ufffd\u001dp
"2025-04-19","20.64.106.117","United States","TCP","MGLNDD_108.174.54.75_3306\n"
"2025-04-19","157.230.222.67","United States","TCP","\r\n\r\n"
"2025-04-19","157.230.222.67","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-04-19","157.230.222.67","United States","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-04-19","157.230.222.67","United States","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-04-19","157.230.222.67","United States","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-04-19","157.230.222.67","United States","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-04-19","157.230.222.67","United States","TCP","HELP\r\n"
"2025-04-19","157.230.222.67","United States","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-04-19","157.230.222.67","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-04-19","157.230.222.67","United States","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
