"2025-05-17","103.147.185.248","Vietnam","HTTP","/.env"
"2025-05-17","45.135.194.13","The Netherlands","HTTP","/boaform/admin/formLogin"
"2025-05-17","172.178.83.199","United States","HTTP","/developmentserver/metadatauploader"
"2025-05-17","142.93.250.227","United States","HTTP","/.env"
"2025-05-17","64.226.98.14","Germany","HTTP","/aaa9"
"2025-05-17","64.226.98.14","Germany","HTTP","/aab8"
"2025-05-17","199.45.155.87","United States","HTTP","/favicon.ico"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/media/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.backup"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/www/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dev.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dist"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/assets../.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/data/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/config/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.secret"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.stage"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/core/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.uat"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.production.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/dev/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.dev"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.staging.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.ci"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.test"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/prod/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.template"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.testing"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/public/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.local"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.sandbox"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/project/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/build/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/configuration/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/server/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/docker-compose.prod.yml"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/cms/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env_sample"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/settings/.env"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/backup/.git/config"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.default"
"2025-05-17","93.123.109.230","Bulgaria","HTTP","/.env.prod"
