"2025-07-20","20.83.27.168","United States","HTTP","/hudson"
"2025-07-20","185.177.72.11","France","HTTP","/.git/HEAD"
"2025-07-20","185.177.72.11","France","HTTP","/etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/.DS_Store"
"2025-07-20","185.177.72.11","France","HTTP","/.aws/credentials"
"2025-07-20","185.177.72.11","France","HTTP","/.azure/"
"2025-07-20","185.177.72.11","France","HTTP","/backend/.env"
"2025-07-20","185.177.72.11","France","HTTP","/.bash_history"
"2025-07-20","185.177.72.11","France","HTTP","/.bash_profile"
"2025-07-20","185.177.72.11","France","HTTP","/.bashrc"
"2025-07-20","185.177.72.11","France","HTTP","/.boto"
"2025-07-20","185.177.72.11","France","HTTP","/.bzr/"
"2025-07-20","185.177.72.11","France","HTTP","/.config/gcloud/"
"2025-07-20","185.177.72.11","France","HTTP","/.cshrc"
"2025-07-20","185.177.72.11","France","HTTP","/.docker/config.json"
"2025-07-20","185.177.72.11","France","HTTP","/.env"
"2025-07-20","185.177.72.11","France","HTTP","/.env.backup"
"2025-07-20","185.177.72.11","France","HTTP","/.env.dev"
"2025-07-20","185.177.72.11","France","HTTP","/.env.example"
"2025-07-20","185.177.72.11","France","HTTP","/.env.local"
"2025-07-20","185.177.72.11","France","HTTP","/.env.prod"
"2025-07-20","185.177.72.11","France","HTTP","/.env.testing"
"2025-07-20","185.177.72.11","France","HTTP","/.firebaserc"
"2025-07-20","185.177.72.11","France","HTTP","/.git/"
"2025-07-20","185.177.72.11","France","HTTP","/.git/HEAD"
"2025-07-20","185.177.72.11","France","HTTP","/.git/config"
"2025-07-20","185.177.72.11","France","HTTP","/.git/index"
"2025-07-20","185.177.72.11","France","HTTP","/.git/logs/HEAD"
"2025-07-20","185.177.72.11","France","HTTP","/.gitattributes"
"2025-07-20","185.177.72.11","France","HTTP","/.gitignore"
"2025-07-20","185.177.72.11","France","HTTP","/.gitmodules"
"2025-07-20","185.177.72.11","France","HTTP","/.hg/"
"2025-07-20","185.177.72.11","France","HTTP","/.htaccess"
"2025-07-20","185.177.72.11","France","HTTP","/.htpasswd"
"2025-07-20","185.177.72.11","France","HTTP","/.idea/"
"2025-07-20","185.177.72.11","France","HTTP","/.idea/.name"
"2025-07-20","185.177.72.11","France","HTTP","/.login"
"2025-07-20","185.177.72.11","France","HTTP","/.netrc"
"2025-07-20","185.177.72.11","France","HTTP","/.nginx.conf"
"2025-07-20","185.177.72.11","France","HTTP","/.npmrc"
"2025-07-20","185.177.72.11","France","HTTP","/.profile"
"2025-07-20","185.177.72.11","France","HTTP","/.ssh/config"
"2025-07-20","185.177.72.11","France","HTTP","/.ssh/id_rsa"
"2025-07-20","185.177.72.11","France","HTTP","/.ssh/id_rsa.pub"
"2025-07-20","185.177.72.11","France","HTTP","/.svn/"
"2025-07-20","185.177.72.11","France","HTTP","/.user.ini"
"2025-07-20","185.177.72.11","France","HTTP","/.vscode/"
"2025-07-20","185.177.72.11","France","HTTP","/.vscode/settings.json"
"2025-07-20","185.177.72.11","France","HTTP","/.well-known/security.txt"
"2025-07-20","185.177.72.11","France","HTTP","/.zshrc"
"2025-07-20","185.177.72.11","France","HTTP","/?file=../../../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?file=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?inc=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?include=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?layout=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?module=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?page=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?path=../../../../../../boot.ini"
"2025-07-20","185.177.72.11","France","HTTP","/?template=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/?view=../../../../etc/passwd"
"2025-07-20","185.177.72.11","France","HTTP","/Gemfile.lock"
"2025-07-20","185.177.72.11","France","HTTP","/Pipfile.lock"
"2025-07-20","185.177.72.11","France","HTTP","/Procfile"
"2025-07-20","185.177.72.11","France","HTTP","/Thumbs.db"
"2025-07-20","185.177.72.11","France","HTTP","/_debugbar"
"2025-07-20","185.177.72.11","France","HTTP","/access.log"
"2025-07-20","185.177.72.11","France","HTTP","/account"
"2025-07-20","185.177.72.11","France","HTTP","/actuator"
"2025-07-20","185.177.72.11","France","HTTP","/actuator/env"
"2025-07-20","185.177.72.11","France","HTTP","/actuator/health"
"2025-07-20","185.177.72.11","France","HTTP","/actuator/metrics"
"2025-07-20","185.177.72.11","France","HTTP","/admin"
"2025-07-20","185.177.72.11","France","HTTP","/admin-console"
"2025-07-20","185.177.72.11","France","HTTP","/admin.aspx"
"2025-07-20","185.177.72.11","France","HTTP","/admin.html"
"2025-07-20","185.177.72.11","France","HTTP","/admin.php"
"2025-07-20","185.177.72.11","France","HTTP","/admin/auth"
"2025-07-20","185.177.72.11","France","HTTP","/admin/install"
"2025-07-20","185.177.72.11","France","HTTP","/admin/login"
"2025-07-20","185.177.72.11","France","HTTP","/admin/setup"
"2025-07-20","185.177.72.11","France","HTTP","/admin/upgrade"
"2025-07-20","185.177.72.11","France","HTTP","/admin_backup"
"2025-07-20","185.177.72.11","France","HTTP","/admin_console"
"2025-07-20","185.177.72.11","France","HTTP","/admin_panel"
"2025-07-20","185.177.72.11","France","HTTP","/admincp"
"2025-07-20","185.177.72.11","France","HTTP","/adminer"
"2025-07-20","185.177.72.11","France","HTTP","/adminer.php"
