"2025-09-23","91.199.163.71","Lithuania","TCP","\u0003\u0000\u0000/*\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=Administr\r\n\u0001\u0000\u0008\u0000\u0003\u0000\u0000\u0000"
"2025-09-23","148.113.208.45","Canada","TCP","c\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\ufffd޾\ufffd\u0000\u0000\u0000\u0000"
"2025-09-23","40.124.174.133","United States","TCP","MGLNDD_108.174.54.75_3306\n"
"2025-09-23","3.131.215.38","United States","TCP","\n"
"2025-09-23","3.131.215.38","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-09-23","3.131.215.38","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
"2025-09-23","3.131.215.38","United States","TCP","\u0016\u0003\u0001\u0000{\u0001\u0000\u0000w\u0003\u0003XԔ\ufffd\ufffd\u0016W\u0019\ufffd\ufffd[\u0005\u000c\\\u000f\ufffd\ufffd^\ufffdc\u0006g:\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd=\u0000\u0000\u001a\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\u0001\u0000\u00004\u0000\u0005\u0000\u0005\u0001\u0000\u0000\u0000\u0000\u0000\n\u0000\u0008\u0000\u0006\u0000\u0017\u0000\u0018\u0000\u0019\u0000\u000b\u0000\u0002\u0001\u0000\u0000\r\u0000\u0010\u0000\u000e\u0004\u0001\u0004\u0003\u0002\u0001\u0002\u0003\u0004\u0001\u0005\u0001\u0006\u0001\ufffd\u0001\u0000\u0001\u0000"
"2025-09-23","3.131.215.38","United States","TCP","SSH-2.0-Go\r\n"
"2025-09-23","3.131.215.38","United States","TCP","\u0016\u0003\u0001\u0000{\u0001\u0000\u0000w\u0003\u0003\u0004\u0001\ufffd$\u001aG]\ufffd\ufffd\ufffd\ufffds\ufffd9\ufffd:N9!t1%\u000b\ufffdi\ufffd\ufffd\ufffd;\u000f\ufffdp\u0000\u0000\u001a\ufffd/\ufffd+\ufffd\u0011\ufffd\u0007\ufffd\u0013\ufffd\t\ufffd\u0014\ufffd\n\u0000\u0005\u0000/\u00005\ufffd\u0012\u0000\n\u0001\u0000\u00004\u0000\u0005\u0000\u0005\u0001\u0000\u0000\u0000\u0000\u0000\n\u0000\u0008\u0000\u0006\u0000\u0017\u0000\u0018\u0000\u0019\u0000\u000b\u0000\u0002\u0001\u0000\u0000\r\u0000\u0010\u0000\u000e\u0004\u0001\u0004\u0003\u0002\u0001\u0002\u0003\u0004\u0001\u0005\u0001\u0006\u0001\ufffd\u0001\u0000\u0001\u0000"
"2025-09-23","162.216.149.42","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-09-23","162.216.149.42","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-09-23","148.113.210.254","Canada","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003}Ȇ\ufffd$M\u0012\ufffd\ufffd\ufffdcr΋ڥ֤\u0006\ufffdϬ/\ufffd8\ufffdDw;٧ 7\ufffdsc~\ufffd+\ufffd\ufffd\ufffd@\ufffd@\ufffd1\u001b\u0012\ufffde\ufffd\ufffd\u0002\ufffdֺ1(\u0008\u0006\ufffd״\u0000\u0026̨̩\ufffd/\ufffd0\ufffd+\ufffd
