"2025-10-23","91.196.152.219","France","TCP","\u0016\u0003\u0003\u0001\ufffd\u0001\u0000\u0001\ufffd\u0003\u0003P\u0005\u000bCР\ufffd/\u0017\u0006\ufffd\ufffd\ufffd\u000f\u001b\ufffd\ufffd\ufffd\ufffd\ufffd3\ufffd\ufffdM~ܾ\u0002\u003eM\ufffd\ufffd j\ufffd\ufffd\ufffd\ufffd1\ufffd\n\ufffd\ufffd\ufffd\u001e{\ufffd\ufffd\u0017\u0026\ufffd\ufffd\ufffdMj\ufffd-\ufffd\u000f\ufffd\n\ufffd\u0013\ufffd6\u0000\ufffd\u0000\u0016\u00003\u0000g\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u00009\u0000k\ufffd\ufffd\ufffd\ufffd\u0000\ufffd\u0000E\u0000\ufffd\u0000\ufffd\u0000\ufffd\u0000\ufffd\ufffd\u0008\ufffd\t\ufffd#\ufffd\ufffd\ufffd\ufffd\ufffd+\ufffd\n\ufffd$\ufffd\ufffd\ufffd\ufffd\ufffd
"2025-10-23","111.113.89.211","China","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\ufffdW\u000b
"2025-10-23","60.16.193.55","China","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003Ny:A\u001f\ufffd9\ufffd\ufffd8\ufffd\ufffd\ufffdE\ufffd\ufffd\ufffd\ufffd$\ufffdl\ufffd\u0001\ufffd\ufffd\ufffd\u0007\u000e\u0016Y\ufffdn \ufffdY\u0001\ufffd(\u000b5\t\ufffd\ufffd\ufffdB߳\u003e\ufffdd*E/O\u0005\ufffds\ufffd{\ufffd\u0010\ufffd\u001cx\ufffd\u0000\u0026\ufffd+\ufffd/\ufffd
"2025-10-23","125.82.243.201","China","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nAccept: */*\r\n\r\n"
"2025-10-23","223.199.166.113","China","TCP","USER anonymous\r\n"
"2025-10-23","159.223.137.194","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Chromium\";v=\"139\"
"2025-10-23","159.223.137.194","United States","TCP","GET /favicon.ico HTTP/1.1\r\nHost: 108.174.54.75\r\nConnection: keep-alive\r\nsec-ch-ua: \"Chromium\";v=\"139\"
"2025-10-23","104.248.125.87","United States","TCP","\r\n\r\n"
"2025-10-23","104.248.125.87","United States","TCP","GET / HTTP/1.0\r\n\r\n"
"2025-10-23","104.248.125.87","United States","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2025-10-23","104.248.125.87","United States","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2025-10-23","104.248.125.87","United States","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-10-23","104.248.125.87","United States","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2025-10-23","104.248.125.87","United States","TCP","HELP\r\n"
"2025-10-23","104.248.125.87","United States","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2025-10-23","104.248.125.87","United States","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003U\u001c\ufffd\ufffdrandom1random2random3random4\u0000\u0000\u000c\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2025-10-23","104.248.125.87","United States","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\u000c\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2025-10-23","104.248.125.87","United States","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\u0008\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2025-10-23","104.248.125.87","United States","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2025-10-23","104.248.125.87","United States","TCP","OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: \u003csip:nm@nm\u003e;tag=root\r\nTo: \u003csip:nm2@nm2\u003e\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: \u003csip:nm@nm\u003e\r\nAccept: application/sdp\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","GET /solr/admin/info/system HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","157.230.58.67","United States","TCP","GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Go-http-client/1.1\r\nConnection: close\r\n\r\n"
"2025-10-23","192.241.129.152","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\u0008$I#\ufffd\ufffd8V\u000cX\ufffd\ufffd\ufffd\ufffd\ufffd\ufffd4\ufffd\ufffdJϡ\u001c[\ufffd]\ufffdV\ufffd\ufffd \ufffd\ufffd\ufffd\u0010\ufffd\ufffdN6X?\u0012V\ufffd\u001e籹\ufffd
"2025-10-23","157.230.191.159","United States","TCP","GET / HTTP/1.1\r\nHost: 108.174.54.75:3306\r\nUser-Agent: Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n"
