"2026-01-15","195.3.222.78","Poland","HTTP","/vgbh"
"2026-01-15","91.230.168.111","United States","HTTP","/favicon.ico"
"2026-01-15","193.142.146.230","Germany","HTTP","/login"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/dev/.env~"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/lara/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/dev/.env0"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/node/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/jest/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/helm/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/debug.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/next/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/env.local"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/envs/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/email.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/env_2.txt"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/front.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/nest/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/brevo.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/api/.env0"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/.env_user"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/BACK/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/.prod-env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/admin.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/app/.env~"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/User/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/cloud.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/api/.env~"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/cicd/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/Lara/.env"
"2026-01-15","78.153.140.179","United Kingdom","HTTP","/build.env"
