"2026-08-28","94.154.43.36","The Netherlands","TCP","GET http://api.ipify.org/ HTTP/1.1\r\nHost: api.ipify.org\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36\r\nAccept: */*\r\nConnection: close\r\nAccept-Encoding: gzip\r\n\r\n"
"2026-08-28","66.132.172.189","United States","TCP","\u0016\u0003\u0001\u0000\ufffd\u0001\u0000\u0000\ufffd\u0003\u0003\ufffd\ufffd\ufffd\u0012\ufffd\u000f\ufffd\u003cl\ufffd}\ufffd#cʿ\ufffd\ufffd\ufffdqo\u001dwN\u000eP\ufffdN\ufffd\ufffd_0 \ufffd7\ufffddK.3\u0004h\\䄞\ufffdl\ufffd\ufffdܔ\ufffd$\ufffd\ufffd\b\ufffdX\ufffd\ufffd\ufffd'\ufffd8\u0000\u0026̨̩\ufffd/\ufffd0\ufffd+\ufffd
"2026-08-28","39.100.72.232","China","TCP","\r\n\r\n"
"2026-08-28","39.100.72.232","China","TCP","GET / HTTP/1.0\r\n\r\n"
"2026-08-28","39.100.72.232","China","TCP","OPTIONS / HTTP/1.0\r\n\r\n"
"2026-08-28","39.100.72.232","China","TCP","OPTIONS / RTSP/1.0\r\n\r\n"
"2026-08-28","39.100.72.232","China","TCP","\ufffd\u0000\u0000(r\ufffd\u001d\u0013\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0002\u0000\u0001\ufffd\ufffd\u0000\u0001\ufffd|\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-08-28","39.100.72.232","China","TCP","\u0000\u001e\u0000\u0006\u0001\u0000\u0000\u0001\u0000\u0000\u0000\u0000\u0000\u0000\u0007version\u0004bind\u0000\u0000\u0010\u0000\u0003"
"2026-08-28","39.100.72.232","China","TCP","\u0000\f\u0000\u0000\u0010\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-08-28","39.100.72.232","China","TCP","HELP\r\n"
"2026-08-28","39.100.72.232","China","TCP","\u0016\u0003\u0000\u0000S\u0001\u0000\u0000O\u0003\u0000?G\ufffd\ufffd\ufffd
"2026-08-28","39.100.72.232","China","TCP","\u0003\u0000\u0000*%\ufffd\u0000\u0000\u0000\u0000\u0000Cookie: mstshash=kset\r\n\u0001\u0000\b\u0000\u0003\u0000\u0000\u0000"
"2026-08-28","39.100.72.232","China","TCP","\u0016\u0003\u0000\u0000i\u0001\u0000\u0000e\u0003\u0003gP\ufffd \ufffd\ufffdL\ufffdnz\ufffd\ufffd-N\u001a\ufffd\ufffdn=\ufffdr\ufffd\u0019\ufffd\ufffd[*M\ufffd\u003c~\u0000\u0000\f\u0000/\u0000\n\u0000\u0013\u00009\u0000\u0004\u0000\ufffd\u0001\u0000\u00000\u0000\r\u0000
"2026-08-28","39.100.72.232","China","TCP","\u0000\u0000\u0000qj\ufffdn0\ufffdk\ufffd\u0003\u0002\u0001\u0005\ufffd\u0003\u0002\u0001\n\ufffd\ufffd^0\\\ufffd\u0007\u0003\u0005\u0000P\ufffd\u0000\u0010\ufffd\u0004\u001b\u0002NM\ufffd\u00170\u0015\ufffd\u0003\u0002\u0001\u0000\ufffd\u000e0\f\u001b\u0006krbtgt\u001b\u0002NM\ufffd\u0011\u0018\u000f19700101000000Z\ufffd\u0006\u0002\u0004\u001f\u001e\ufffd٨\u00170\u0015\u0002\u0001\u0012\u0002\u0001\u0011\u0002\u0001\u0010\u0002\u0001\u0017\u0002\u0001\u0001\u0002\u0001\u0003\u0002\u0001\u0002"
"2026-08-28","39.100.72.232","China","TCP","\u0000\u0000\u0000\ufffd\ufffdSMBr\u0000\u0000\u0000\u0000\b\u0001@\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000@\u0006\u0000\u0000\u0001\u0000\u0000\ufffd\u0000\u0002PC NETWORK PROGRAM 1.0\u0000\u0002MICROSOFT NETWORKS 1.03\u0000\u0002MICROSOFT NETWORKS 3.0\u0000\u0002LANMAN1.0\u0000\u0002LM1.2X002\u0000\u0002Samba\u0000\u0002NT LANMAN 1.0\u0000\u0002NT LM 0.12\u0000"
"2026-08-28","39.100.72.232","China","TCP","l\u0000\u000b\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"
"2026-08-28","39.100.72.232","China","TCP","GET /temp%20files%2C/Def%61ult.txt%2etxt HTTP/1.0\r\n\r\n"
"2026-08-28","39.100.72.232","China","TCP","\u0001default\n"
"2026-08-28","39.100.72.232","China","TCP","0\ufffd\u0000\u0000\u0000-\u0002\u0001\u0007c\ufffd\u0000\u0000\u0000$\u0004\u0000\n\u0001\u0000\n\u0001\u0000\u0002\u0001\u0000\u0002\u0001d\u0001\u0001\u0000\ufffd\u000bobjectClass0\ufffd\u0000\u0000\u0000\u0000"
"2026-08-28","39.100.72.232","China","TCP","0\f\u0002\u0001\u0001`\u0007\u0002\u0001\u0002\u0004\u0000\ufffd\u0000"
